id,mode,command,name_level,type_level,device,intent_ok,grounding,delta,type_reason,device_src
route-type-blackhole,fabricated-name,/ip/route add dst-address=10.10.10.0/24 type=blackhole,invalid,invalid,invalid,no,device-replayed,both agree w/ device,unknown arg `type`,blackhole_device_verify.csv (7.22.1/7.23: rejected)
route-blackhole-eq-yes,switch-form (F1 gap),/ip/route add dst-address=10.10.10.0/24 blackhole=yes,valid,invalid,invalid,no,device-replayed,type-level closes form gap,`blackhole` is a switch (bare flag) -- takes no =value,blackhole_device_verify.csv (both: expected end of command)
route-bare-blackhole,correct,/ip/route add dst-address=10.10.10.0/24 blackhole,valid,valid,valid,yes,device-replayed,both agree w/ device,ok,blackhole_device_verify.csv (both: route created)
route-metric,fabricated-name,/ip/route add dst-address=0.0.0.0/0 gateway=192.168.1.1 metric=1,invalid,invalid,invalid,no,derived,both agree w/ device,unknown arg `metric`,command_validity.csv inspect: unknown arg `metric` on /ip/route
wg-peer-allowed-ips,fabricated-name,"/interface/wireguard/peers add interface=wg0 public-key=""K="" allowed-ips=10.0.0.2/32",invalid,invalid,invalid,no,derived,both agree w/ device,unknown arg `allowed-ips`; missing mandatory `allowed-address`,Linux wg name; RouterOS uses allowed-address (no `allowed-ips`)
wg-peer-missing-allowed,missing-mandatory,"/interface/wireguard/peers add interface=wg0 public-key=""K=""",valid,invalid,invalid,no,derived,type-level closes form gap,missing mandatory `allowed-address`,vendor: allowed-address mandatory; RouterOS requires it
route-checkgateway-enum,enum-value,/ip/route add dst-address=10.10.10.0/24 blackhole check-gateway=yes,valid,invalid,invalid,no,derived,type-level closes form gap,`check-gateway`=yes not in enum (arp | bfd | none | ping),vendor: check-gateway enum (none|arp|ping|bfd); `yes` not a member
dns-static-type-enum,enum-value,/ip/dns/static add name=router.lan address=192.168.88.1 type=A6,valid,invalid,invalid,no,derived,type-level closes form gap,`type`=A6 not in enum (A | AAAA | CNAME | FWD | MX | NS | NXDOMAIN | SRV | TXT),vendor: /ip/dns/static type enum has no `A6` (deprecated record type)
wg-iface-listenport-num,num-value,/interface/wireguard add name=wg0 listen-port=https,valid,invalid,invalid,no,derived,type-level closes form gap,"`listen-port` is num, got `https`",vendor: listen-port is num; `https` is not numeric
nat-dstnat-overspec,semantic-overspec (limit),/ip/firewall/nat add chain=dstnat protocol=tcp dst-port=8080 action=dst-nat to-addresses=192.168.88.20 to-ports=80 in-interface-list=WAN,valid,valid,valid,no,derived,runs but wrong-for-intent (needs readback/semantics),ok,"valid syntax; over-specified for the intent (real prop, runs fine)"
